Main document: ./docs/25981 	 Potential Duplicates:[u'./docs/25982']
Main document: ./docs/26264 	 Potential Duplicates:[u'./docs/26275']
Main document: ./docs/26268 	 Potential Duplicates:[u'./docs/26277']
Main document: ./docs/26293 	 Potential Duplicates:[u'./docs/87095']
Main document: ./docs/26379 	 Potential Duplicates:[u'./docs/26380']
Main document: ./docs/26749 	 Potential Duplicates:[u'./docs/38350']
Main document: ./docs/27168 	 Potential Duplicates:[u'./docs/27176']
Main document: ./docs/27343 	 Potential Duplicates:[u'./docs/58435']
Main document: ./docs/27362 	 Potential Duplicates:[u'./docs/89131']
Main document: ./docs/27497 	 Potential Duplicates:[u'./docs/27499']
Main document: ./docs/28181 	 Potential Duplicates:[u'./docs/78173']
Main document: ./docs/28308 	 Potential Duplicates:[u'./docs/76718']
Main document: ./docs/28313 	 Potential Duplicates:[u'./docs/28314']
Main document: ./docs/28347 	 Potential Duplicates:[u'./docs/77433']
Main document: ./docs/28636 	 Potential Duplicates:[u'./docs/81099']
Main document: ./docs/28754 	 Potential Duplicates:[u'./docs/91701']
Main document: ./docs/29050 	 Potential Duplicates:[u'./docs/68620']
Main document: ./docs/29635 	 Potential Duplicates:[u'./docs/93482']
Main document: ./docs/29650 	 Potential Duplicates:[u'./docs/78173']
Main document: ./docs/29763 	 Potential Duplicates:[u'./docs/29765']
Main document: ./docs/30218 	 Potential Duplicates:[u'./docs/60785']
Main document: ./docs/30351 	 Potential Duplicates:[u'./docs/30352']
Main document: ./docs/30650 	 Potential Duplicates:[u'./docs/61657']
Main document: ./docs/30865 	 Potential Duplicates:[u'./docs/49741']
Main document: ./docs/31365 	 Potential Duplicates:[u'./docs/31366']
Main document: ./docs/32738 	 Potential Duplicates:[u'./docs/32752']
Main document: ./docs/32772 	 Potential Duplicates:[u'./docs/32773']
Main document: ./docs/32843 	 Potential Duplicates:[u'./docs/55328']
Main document: ./docs/32938 	 Potential Duplicates:[u'./docs/80996']
Main document: ./docs/33412 	 Potential Duplicates:[u'./docs/33420']
Main document: ./docs/33537 	 Potential Duplicates:[u'./docs/34746']
Main document: ./docs/33668 	 Potential Duplicates:[u'./docs/93920']
Main document: ./docs/33705 	 Potential Duplicates:[u'./docs/92112']
Main document: ./docs/33781 	 Potential Duplicates:[u'./docs/36696']
Main document: ./docs/33850 	 Potential Duplicates:[u'./docs/82779']
Main document: ./docs/33859 	 Potential Duplicates:[u'./docs/46508']
Main document: ./docs/35741 	 Potential Duplicates:[u'./docs/90315']
Main document: ./docs/35878 	 Potential Duplicates:[u'./docs/37415']
Main document: ./docs/36016 	 Potential Duplicates:[u'./docs/58915']
Main document: ./docs/36073 	 Potential Duplicates:[u'./docs/36091']
Main document: ./docs/36214 	 Potential Duplicates:[u'./docs/83743']
Main document: ./docs/36219 	 Potential Duplicates:[u'./docs/87686']
